repo_full_name,observed_role,prior_memory_role,proposed_authority_role,overlap_class,canonical_owner_candidate,supporting_services,confidence,next_action,notes
SocioProphet/tritfabric,"Active TritFabric/Atlas implementation repo with Serve router/autoscaler, Network Atlas catalog, community learning, promotion contracts, validators, tests, and readiness docs","Recovered Atlas/TritFabric/Community/Serve work absorption target","Canonical implementation and immediate contract authority for recovered TritFabric/Atlas fabric lineage","fabric-runtime-governance; atlas-lineage; serve-plane; catalog-intake",SocioProphet/tritfabric,"svc.platform.compute-mesh; svc.product.model-training; svc.platform.protocol-contract; svc.platform.cybernetic-governance",high,"Pin/propagate TritFabric authority in service-register follow-on entries; do not duplicate implementation in SocioSphere","SocioSphere ledger states TritFabric owns implementation and immediate contract surfaces; SocioSphere records estate absorption and follow-on coordination."
SocioProphet/atlas_master_bundle_complete,"Tiny Atlas bundle repo; size 13; no recent PR history surfaced","Atlas integration plane; reference/archive/incubation","Reference/incubation artifact, not live authority","atlas-reference; historical-bundle",SocioProphet/tritfabric,"svc.product.model-training",medium,"Inspect file contents before archive/merge decision; extract any unique vocabulary into TritFabric or ontology if needed","Keep as supporting until diff proves no unique material remains."
SocioProphet/atlas_master_bundle_autopilot_fullorchestration,"Tiny Atlas autopilot bundle repo; size 14; no recent PR history surfaced","Atlas integration plane; reference/archive/incubation","Reference/incubation artifact, not live orchestration authority","atlas-reference; orchestration-scaffold",SocioProphet/tritfabric,"svc.product.model-training; svc.platform.compute-mesh",medium,"Inspect for unique orchestration plans; migrate only non-duplicated material into TritFabric or AgentPlane backlog","Do not treat as canonical orchestrator without evidence."
SocioProphet/atlas_os_service_full,"Near-empty Atlas service repo; size 1; no recent PR history surfaced","Atlas OS service scaffold/reference","Reference/incubation artifact, likely archive candidate after inspection","atlas-reference; service-scaffold",SocioProphet/tritfabric,"svc.product.model-training",medium,"Perform file-level inspection; if no unique contracts exist, mark archive/retire candidate","Likely not a live service authority."
SocioProphet/prophet-platform-fabric-mlops-ts-suite,"Active MLOps pack repo; recent PRs for TritFabric-aligned decision world signal packs, SHIR chain, semantic leakage, and SHIR-to-PyG projection","Downstream deployment/MLOps/time-series suite lane","Canonical downstream MLOps/pack lane, not root fabric authority","mlops-pack; graph-ml-projection; semantic-leakage; deployment-pack",SocioProphet/prophet-platform-fabric-mlops-ts-suite,"svc.product.model-training; svc.platform.compute-mesh; svc.platform.ontology-semantics",high,"Align pack manifests with SHIR/semantic-serdes and TritFabric; avoid absorbing SourceOS carry authority","Fabric/MLOps consumes fabric and SHIR contracts; it should not own carry authorization or runtime policy."
SocioProphet/semantic-serdes,"SHIR SerDes repo; owns schemas, examples, validation contracts, manifests; explicitly leaves compilers/trainers to downstream MLOps/runtime repos","SHIR and semantic interchange/projection substrate","Canonical semantic serialization and SHIR projection authority","semantic-serdes; SHIR; projection-loss; semantic-leakage; receipts",SocioProphet/semantic-serdes,"svc.platform.ontology-semantics; svc.product.model-training; svc.platform.protocol-contract",high,"Ensure Fabric/MLOps packs reference SHIR schemas and projection-loss receipts; coordinate ontology promotion with Ontogenesis","SHIR slice covers CandidateAssertion -> LinkageCandidate -> Assertion -> ProjectionLossReport -> Receipt."
SocioProphet/ontogenesis,"Substantive ontology repo; size 1271; linked by SHIR SerDes ontology contract","Ontology and schema-to-law compiler authority","Canonical ontology and semantic-law authority for stabilized vocabularies","ontology; SHACL; semantic-law; vocabulary-promotion",SocioProphet/ontogenesis,"svc.platform.ontology-semantics; svc.platform.cybernetic-governance",medium-high,"Promote only stabilized TritFabric/SHIR vocabularies after schemas settle","TritFabric ledger names Ontogenesis as follow-on plane for community/model calculus/framework catalog semantics."
SourceOS-Linux/sourceos-model-carry,"Large SourceOS carry repo; size 1882; owns carry-only contracts for service refs, launch profiles, cache policy, evidence expectations; explicitly not authorization or runtime","SourceOS local carry/reference/provenance contract authority","Canonical SourceOS model carry/reference authority","model-carry; local-reference; provenance; non-authorization-boundary",SourceOS-Linux/sourceos-model-carry,"svc.substrate.local-runtime; svc.platform.model-governance; svc.product.model-training",high,"Keep separate from Fabric/MLOps and TritFabric; link to sourceos-spec, agent-machine, model-router, model-governance-ledger, policy-fabric","Boundary docs state model-carry does not authorize prompt egress, network, tool use, download, training, promotion, or lifecycle mutation."
SourceOS-Linux/sourceos-spec,"Substantive SourceOS typed-contract repo; size 1014; search shows agent-machine/model-carry catalog and semantic overlays","Typed SourceOS projection authority","Canonical SourceOS typed projection/schema authority","sourceos-contracts; typed-projection; semantic-overlay",SourceOS-Linux/sourceos-spec,"svc.substrate.image-build; svc.substrate.local-runtime; svc.substrate.agent-machine",high,"Ensure SourceOSModelCarryRef, InferenceProvider, ModelResidency, PlacementFact, and AgentMachineReceipt are indexed as typed projections","Model-carry should reference sourceos-spec for schema authority where applicable."
SourceOS-Linux/agent-machine,"Active local runtime repo; size 468; search shows RuntimeInstallReceipt, AgentRegistryGrant, runtime package, activation, validation scripts, and trust surface","Local runtime / inference provider / residency / placement / receipt authority","Canonical local runtime and runtime-receipt authority","local-runtime; runtime-install; agent-registry; activation; receipts",SourceOS-Linux/agent-machine,"svc.substrate.agent-machine; svc.platform.compute-mesh; svc.platform.agent-runtime",high,"Keep runtime execution separate from sourceos-model-carry; link runtime receipt contracts to AgentPlane evidence surfaces","Agent-machine owns local runtime facts; carry refs are inputs, not runtime execution or authorization."
