propagation_id,source_artifact,decision_scope,from_authority,to_consumer,service_surface,propagation_mode,target_artifact,next_action,status,notes
FAMC-PROP-001,fabric-atlas-model-carry-reconciliation.v0.1.csv,tritfabric-root-authority,SocioProphet/tritfabric,SocioProphet/sociosphere,svc.platform.compute-mesh; svc.product.model-training; svc.platform.protocol-contract,register-dependency-and-contract-boundary,service-dependency-edges.v0.1.csv,"Add/confirm typed dependency edges from model-training and compute-mesh surfaces to TritFabric lineage without making SocioSphere a second implementation authority",planned,"TritFabric owns recovered Atlas/TritFabric implementation and immediate contracts; SocioSphere records absorption and propagation."
FAMC-PROP-002,fabric-atlas-model-carry-reconciliation.v0.1.csv,atlas-reference-classification,SocioProphet/atlas_master_bundle_complete,SocioProphet/tritfabric,svc.product.model-training,archive-or-extract-decision,repo-reconciliation-report.v0.1.csv,"Perform file-level Atlas diff; extract unique vocabulary/contracts to TritFabric or Ontogenesis; otherwise classify as reference/archive",planned,"Do not archive until unique material has been checked."
FAMC-PROP-003,fabric-atlas-model-carry-reconciliation.v0.1.csv,atlas-reference-classification,SocioProphet/atlas_master_bundle_autopilot_fullorchestration,SocioProphet/tritfabric,svc.platform.compute-mesh; svc.product.model-training,archive-or-extract-decision,repo-reconciliation-report.v0.1.csv,"Inspect autopilot orchestration content; migrate non-duplicated orchestration concepts to TritFabric or AgentPlane backlog",planned,"Atlas autopilot is not canonical orchestration authority without evidence."
FAMC-PROP-004,fabric-atlas-model-carry-reconciliation.v0.1.csv,atlas-reference-classification,SocioProphet/atlas_os_service_full,SocioProphet/tritfabric,svc.product.model-training,archive-or-extract-decision,repo-reconciliation-report.v0.1.csv,"Perform file-level inspection; mark archive/retire if no unique service contracts exist",planned,"Repo size suggests scaffold, but retirement requires file-level confirmation."
FAMC-PROP-005,fabric-atlas-model-carry-reconciliation.v0.1.csv,mlops-pack-alignment,SocioProphet/semantic-serdes,SocioProphet/prophet-platform-fabric-mlops-ts-suite,svc.product.model-training,contract-consumption,service-architecture-register.v1.0.csv,"Require Fabric/MLOps packs to consume SHIR schemas, projection-loss reports, semantic leakage metadata, and receipts from semantic-serdes",planned,"Semantic-serdes owns SHIR contracts; executable compilers and packs belong downstream."
FAMC-PROP-006,fabric-atlas-model-carry-reconciliation.v0.1.csv,ontology-promotion,SocioProphet/semantic-serdes,SocioProphet/ontogenesis,svc.platform.ontology-semantics,vocabulary-promotion,contract-target-ledger.v0.1.json,"Promote stabilized SHIR/TritFabric vocabularies into Ontogenesis only after schemas settle",planned,"Ontogenesis is the semantic-law/vocabulary authority, not the first draft implementation surface."
FAMC-PROP-007,fabric-atlas-model-carry-reconciliation.v0.1.csv,model-carry-boundary,SourceOS-Linux/sourceos-model-carry,SocioProphet/model-router,svc.platform.model-governance,reference-to-routing-boundary,service-dependency-edges.v0.1.csv,"Ensure model-carry refs point to router profiles while preserving that router owns route decisions",planned,"Carry references are not route decisions."
FAMC-PROP-008,fabric-atlas-model-carry-reconciliation.v0.1.csv,model-carry-boundary,SourceOS-Linux/sourceos-model-carry,SocioProphet/policy-fabric,svc.platform.policy-guardrail,non-authorization-boundary,service-dependency-edges.v0.1.csv,"Ensure prompt egress, network access, tool use, download, training, promotion, and lifecycle mutation remain Policy/Governance decisions, not carry profile effects",planned,"Carry profiles are not permission grants."
FAMC-PROP-009,fabric-atlas-model-carry-reconciliation.v0.1.csv,model-carry-boundary,SourceOS-Linux/sourceos-model-carry,SocioProphet/model-governance-ledger,svc.platform.model-governance,lifecycle-governance-boundary,service-dependency-edges.v0.1.csv,"Ensure model lifecycle, tuning, promotion, consent, and revocation evidence remain in model-governance-ledger",planned,"Model-carry may reference governance evidence but must not own lifecycle."
FAMC-PROP-010,fabric-atlas-model-carry-reconciliation.v0.1.csv,runtime-boundary,SourceOS-Linux/sourceos-model-carry,SourceOS-Linux/agent-machine,svc.substrate.agent-machine,carry-to-runtime-boundary,service-dependency-edges.v0.1.csv,"Ensure Agent Machine owns local runtime facts, runtime install receipts, registry grants, and activation decisions",planned,"Carry refs are runtime inputs, not runtime execution."
FAMC-PROP-011,fabric-atlas-model-carry-reconciliation.v0.1.csv,evidence-control-boundary,SourceOS-Linux/agent-machine,SocioProphet/agentplane,svc.platform.agent-runtime; svc.platform.evidence-ledger,evidence-binding,service-dependency-edges.v0.1.csv,"Link Agent Machine runtime receipts to AgentPlane sandbox/evidence-control contracts",planned,"AgentPlane owns execution/evidence-control surfaces, not carry-reference authority."
FAMC-PROP-012,fabric-atlas-model-carry-reconciliation.v0.1.csv,lab-boundary,SocioProphet/prophet-platform-fabric-mlops-ts-suite,SociOS-Linux/graphlab,svc.managed.labs; svc.product.model-training,lab-seed-or-archive-decision,repo-reconciliation-report.v0.1.csv,"Decide whether graphlab should be seeded with SHIR/PyG lab contracts or marked archive candidate",planned,"Graphlab is empty; semantic-serdes owns SHIR, not graphlab."
FAMC-PROP-013,fabric-atlas-model-carry-reconciliation.v0.1.csv,speechlab-boundary,SociOS-Linux/speechlab,SocioProphet/sociosphere,svc.managed.labs; svc.product.academy; svc.platform.ontology-semantics,separate-inspection,repo-reconciliation-report.v0.1.csv,"Inspect SpeechLab separately before collapsing into generic lab placeholder class",planned,"SpeechLab size and suspected transcript provenance role make it materially different from tiny lab placeholders."
